"3b27a00","Jandersen92","Thu, 10 Dec 2015 12:48:17 +0100","small chances to login class",	 13 files changed, 318 insertions(+), 328 deletions(-)	
"9510b1c","Jandersen92","Thu, 10 Dec 2015 11:34:44 +0100","Class-diagram and GUI diagram added",	 22 files changed, 663 insertions(+), 161 deletions(-)	
"00187b3","Jandersen92","Wed, 9 Dec 2015 19:17:39 +0100","Create README.md",	 1 file changed, 2 insertions(+)	
"0ea7cda","Jandersen92","Wed, 9 Dec 2015 19:13:33 +0100","der arbejdes",	 94 files changed, 3275 insertions(+)	
